Año;Periodo;Pensionados;Sexo
2023;Enero;569588;M
2023;Febrero;569953;M
2023;Marzo;570972;M
2023;Abril;571594;M
2023;Mayo;571328;M
2023;Junio;572466;M
2023;Julio;573859;M
2023;Agosto;575134;M
2023;Septiembre;575939;M
2023;Octubre;577152;M
